,hour,tweets_count
0,0,-1.0600797212083708
1,1,-1.3572273662942946
2,2,-1.4537441690919035
3,3,-1.5762713585830548
4,4,-1.6879971333101653
5,5,-1.5693265563387924
6,6,-1.0674304826652414
7,7,-0.42669635827967245
8,8,0.07406882901589841
9,9,0.3033342943364017
10,10,0.6975931824955395
11,11,0.8712567342320213
12,12,0.998611938644549
13,13,1.0809636646307919
14,14,1.0788178802212913
15,15,1.1450907216795863
16,16,1.1221105305372985
17,17,0.945242800729873
18,18,0.6952009228498123
19,19,0.5772842701304262
20,20,0.5830256932801713
21,21,0.4442021411114608
22,22,0.12622008929274975
23,23,-0.5442505474163727
