word,count
to,1927051
the,1619874
a,1107419
and,970436
you,884847
http,868223
i,785625
for,749540
in,619014
on,613887
of,573859
is,563387
@americanair,537332
your,494330
with,444515
flight,422514
my,411806
this,399342
we,398576
have,385243
@british_airways,343315
it,323480
that,322054
are,312847
be,311741
at,307362
can,285302
from,276913
not,275686
as,250634
de,242523
was,234122
they,228829
no,226236
if,219327
but,217587
our,216399
so,210841
me,210837
?,210098
@easyjet,206766
get,205448
will,193122
@ryanair,190560
please,181907
-,181789
an,178446
us,163398
just,162721
all,157112
do,154244
were,146730
ryanair,145610
flights,144342
been,140961
or,140846
what,137159
by,123298
when,122281
about,120446
has,119199
how,114458
out,112040
la,109539
need,107716
like,107003
more,106708
now,106450
their,106017
would,105874
que,103987
en,103193
@virginatlantic,102215
up,99963
one,98300
had,97764
there,97546
any,97044
its,96274
time,96247
sorry,94506
hi,93598
@klm,91836
still,90852
@qantas,89279
&amp;,88791
back,88394
dm,87956
thanks,85887
thank,83620
fly,83406
lufthansa,83300
customer,82790
help,82136
service,79380
know,79091
im,79041
see,78970
after,77387
why,77261
check,76910
qantas,76703
only,76700
via,71863
them,71766
y,71543
take,71043
who,70702
people,70450
it's,69960
should,69686
flying,69681
airport,69344
@lufthansa,69183
easyjet,68667
due,68114
well,67540
am,67517
make,66258
over,66070
i'm,65103
booking,65085
travel,64976
2,64730
airline,64655
klm,64644
el,64642
then,63422
new,63386
going,62456
because,60135
hours,59798
very,59148
airlines,58771
could,58280
some,57951
than,57940
got,57816
??,57575
you.,56935
even,56825
un,56749
plane,56510
contact,56368
go,55976
good,55418
air,54928
want,54309
great,53940
hear,53164
hope,52939
cancelled,52493
dont,52283
change,52231
never,51912
he,51555
last,51476
being,51382
first,51097
way,51044
don't,50918
delayed,50363
may,50292
off,48723
@airfrance,48363
here,47419
did,46847
next,46415
really,45993
much,45957
other,45906
through,45673
look,45285
also,45204
los,44650
call,44498
which,44457
trying,44439
con,43999
seat,43952
let,43711
into,43373
her,42931
before,42691
same,42289
booked,41870
le,41780
refund,41380
team,41277
another,40876
bag,40826
able,40811
@delta,40775
passengers,40531
staff,39285
day,39161
she,39160
3,39134
think,38370
number,38301
can't,38211
sure,37672
waiting,37661
getting,37606
.,37495
where,37476
pay,37455
home,37195
flight.,37120
youre,36939
told,36642
ba,36402
full,36237
por,36078
crew,35743
@singaporeair,35690
para,34799
i've,34748
hour,34559
give,34408
baggage,34271
send,33853
his,33750
find,33747
email,33508
best,33071
always,33060
cant,33011
book,32490
days,32438
two,32418
say,32282
someone,32114
et,32085
use,32022
these,31781
trip,31771
made,31563
delay,31530
se,31308
keep,31251
this.,31070
luggage,30748
business,30737
love,30733
gate,30638
again,30508
seats,30264
per,30180
today,30129
many,29883
ticket,29737
@etihadairways,29707
!,29593
too,29338
does,29072
es,28908
cancel,28857
customers,28800
long,28573
les,28387
right,28309
phone,27798
work,27772
compensation,27676
"hi,",27606
said,27494
e,27344
since,27272
american,27268
thats,27101
hey,26972
class,26911
claim,26751
info,26599
happy,26581
london,26528
die,26490
it.,26416
tell,26385
wait,26384
???,26319
free,26292
put,26277
pour,26114
website,26060
details,26018
ive,25941
having,25777
better,25578
information,25547
try,25267
every,25237
@,25230
already,25057
ever,25007
come,24927
money,24889
boarding,24703
5,24411
stop,24408
hold,24387
says,24193
until,24189
4,24156
",",24116
del,24111
lost,24081
reference,23966
without,23916
experience,23488
sent,23466
that's,23381
board,23115
ask,23083
online,23021
si,22907
bags,22852
under,22634
most,22571
cabin,22485
those,22426
name,22274
las,22176
extra,22095
:,22082
down,22014
o,21887
care,21783
_,21685
#lufthansa,21634
return,21627
1,21467
few,21388
des,21378
looking,21345
#ryanair,21312
year,21206
feel,21205
6,21192
while,21157
left,20964
working,20907
paid,20814
record,20766
nothing,20663
@steelersfanog,20589
der,20577
possible,20573
worst,20546
@united,20534
times,20462
tomorrow,20375
you're,20314
minutes,20293
aa,20177
away,19956
una,19878
und,19840
...,19705
al,19682
late,19563
anyone,19555
assist,19524
passenger,19473
british,19466
soon,19449
taking,19424
@manairport,19401
lo,19386
response,19380
done,19353
start,19323
@heathrowairport,19318
appreciate,19228
tried,19157
checked,19138
je,19131
anything,19078
message,19021
boeing,18917
pas,18905
uk,18815
bad,18644
something,18589
didn't,18557
doing,18545
link,18437
il,18377
both,18349
such,18327
actually,18205
yet,18152
around,18076
week,18055
person,18021
time.,18008
oh,17928
france,17782
nice,17747
airways,17679
once,17560
available,17429
least,17412
everyone,17396
understand,17384
eu,17383
"thanks,",17378
aircraft,17367
hotel,17292
years,17268
issue,17235
di,17215
vous,17135
further,17083
direct,16924
app,16894
da,16761
glad,16735
morning,16635
using,16625
must,16619
u,16549
now.,16547
didnt,16479
plus,16459
different,16405
saying,16405
guys,16368
us.,16356
family,16308
again.,16271
here:,16222
leave,16196
confirm,16175
making,16162
10,16138
wont,16037
stuck,16022
share,16013
reply,16006
#travel,15995
|,15991
won't,15983
him,15977
"flight,",15952
company,15853
#avgeek,15811
you!,15807
holiday,15803
read,15757
news,15743
#easyjet,15717
pass,15711
dm.,15697
end,15693
tickets,15665
offer,15529
received,15522
maybe,15427
heading,15352
big,15320
thing,15246
used,15218
me.,15206
hello,15137
case,15088
called,15050
world,15037
doesnt,14862
