word,count
@americanair,537332
flight,422514
@british_airways,343315
@easyjet,206766
@ryanair,190560
please,181907
ryanair,145610
flights,144342
time,114255
@virginatlantic,102215
sorry,94506
@klm,91836
@qantas,89279
back,88394
dm,87956
thanks,85887
thank,83620
fly,83406
lufthansa,83300
customer,82790
help,82136
service,79380
know,79091
check,76910
qantas,76703
flying,69681
airport,69344
@lufthansa,69183
easyjet,68667
due,68114
booking,65085
travel,64976
airline,64655
klm,64644
going,62456
hours,59798
airlines,58771
plane,56510
contact,56368
good,55418
air,54928
great,53940
hear,53164
hope,52939
cancelled,52493
change,52231
never,51912
last,51476
being,51382
first,51097
way,51044
delayed,50363
@airfrance,48363
call,44498
trying,44439
seat,43952
before,42691
booked,41870
refund,41380
team,41277
another,40876
bag,40826
able,40811
@delta,40775
passengers,40531
staff,39285
waiting,37661
getting,37606
pay,37455
home,37195
flight.,37120
told,36642
full,36237
crew,35743
@singaporeair,35690
hour,34559
baggage,34271
send,33853
find,33747
email,33508
book,32490
days,32438
trip,31771
delay,31530
luggage,30748
business,30737
love,30733
gate,30638
again,30508
seats,30264
today,30129
many,29883
ticket,29737
@etihadairways,29707
cancel,28857
customers,28800
long,28573
right,28309
phone,27798
work,27772
compensation,27676
"hi,",27606
american,27268
class,26911
claim,26751
info,26599
happy,26581
london,26528
wait,26384
free,26292
website,26060
details,26018
better,25578
information,25547
money,24889
boarding,24703
stop,24408
hold,24387
until,24189
lost,24081
reference,23966
without,23916
experience,23488
sent,23466
that's,23381
board,23115
online,23021
bags,22852
cabin,22485
name,22274
extra,22095
down,22014
care,21783
#lufthansa,21634
return,21627
looking,21345
#ryanair,21312
year,21206
feel,21205
left,20964
working,20907
paid,20814
record,20766
nothing,20663
@steelersfanog,20589
possible,20573
worst,20546
@united,20534
times,20462
tomorrow,20375
minutes,20293
away,19956
late,19563
anyone,19555
assist,19524
passenger,19473
british,19466
taking,19424
@manairport,19401
response,19380
done,19353
start,19323
@heathrowairport,19318
appreciate,19228
tried,19157
checked,19138
anything,19078
message,19021
boeing,18917
uk,18815
bad,18644
something,18589
link,18437
week,18055
person,18021
france,17782
nice,17747
airways,17679
available,17429
least,17412
everyone,17396
understand,17384
"thanks,",17378
aircraft,17367
hotel,17292
years,17268
issue,17235
direct,16924
app,16894
glad,16735
morning,16635
using,16625
now.,16547
different,16405
saying,16405
guys,16368
family,16308
leave,16196
confirm,16175
making,16162
stuck,16022
share,16013
reply,16006
#travel,15995
"flight,",15952
company,15853
#avgeek,15811
holiday,15803
read,15757
news,15743
#easyjet,15717
dm.,15697
tickets,15665
offer,15529
received,15522
heading,15352
hello,15137
case,15088
called,15050
world,15037
